id,name,family,layer,role,formula,data_source,series_or_endpoint,history_start,frequency,publication_lag,threshold_arm,threshold_red,persistence_days,direction,tier,historical_verdict_2000,historical_verdict_2008,verdict_2022,cost_bps_roundtrip,max_staleness_days,notes
S13,Valuation gate,valuation,L1,gate,"CAPE percentile vs own history-to-date: amber 85-95th; red >95th. ERP check: 1/CAPE - 10y real",Shiller,ie_data.xls,1871-01,monthly,~1 month,85th pct,95th pct,1 obs,high_val_bearish,shortlist,44.19 Dec-99 (top of history),~25-27 DID NOT FIRE,37-38.6 fired,0,45,gate scales exposure ceilings only; structurally blind to 2008-type
S14,Vol-structure regime,volatility,L3,confirmer,"(a) 21d RV crosses top quartile of 2y w/ >=10d persistence while SPX<200DMA; (b) VIX futures front>second >=5d (2004+); (c) VIX-21dRV<0 persistent (complacency)",own calc + CBOE/CFE,VIX csv; CFE settles,1990 (RV full; futures 2004),daily,0,(a) or (c),(b) or (a)+SPX<200DMA,5-10,regime_shift_bearish,shortlist,VXO 23-29 at top - no timing signal,futures inverted Aug-07; CONTANGO AT OCT PEAK,n/a,5,3,X-layer; 1997/2010/2011/2018 fires are corrections
S15,Credit-boom R-zone,credit,L1,fragility,"business leg: 3yD(nonfin business credit/GDP) top quintile AND 3y real equity return top quintile. household leg: same w/ household credit + real house prices",FRED Z.1 + Shiller/Case-Shiller,Z1 aggregates;CSUSHPINSA,1952 (Z.1),quarterly,~10 weeks,one condition,both (either leg),1 obs,boom_bearish,shortlist,business leg REPRODUCIBLE,household leg per GHSS-class evidence,moderate - silent,0,120,GHSS 2022 mechanism (~40% crisis prob in R-zone)
F1,PC ratio z,options_dash,L1/X,dial,"z of 21d MA total & equity P/C vs 252d",Cboe daily page scrape + free files,totalpc/equitypc csv + daily page,1995-09-27 (total),daily,0,|z|>1.5,|z|>2,5,low_PC_complacent,dashboard,call mania Q1-2000 (equity 0.31-0.36),unremarkable at Oct-07 top,n/a,0,3,files end 2019-10-04; scrape after
F2,VIX percentile,options_dash,L1,dial,"VIX vs 504d percentile",Cboe,VIX_History.csv,1990-01-02,daily,0,<20th,<10th w/ L2>=0.5,5,low_vol_complacent,dashboard,VXO mid-20s,9.89 Jan-07; 16.12 at peak,14.38 Feb-20 exhibit,0,3,
F3,VIX term slope,options_dash,L3,confirmer,"(VIX3M-VIX)/VIX and futures front-second",Cboe csv + CFE,VIX3M csv; CFE_*.csv,2004 (futures) / 2007-12 (VIX3M),daily,0,slope<0 1d,inverted >=5d,5,inversion_stress,dashboard,impossible (no futures),Aug-07 inversion; contango at top,n/a,0,3,
F4,Skew slope 25d RR,options_dash,L3,experimental,"25-delta risk reversal + 10d-ATM slope 1m/3m constant maturity from chain snapshots",UW ARCHIVE,uw options chains,archive day 1,daily,0,z>1.5,z>2,5,steepening_stress,experimental,UNDECIDABLE hist,institutional hist,n/a,0,3,thresholds unusable until ~1y of archive
F5,IV-RV spread,options_dash,L1/L3,dial,"VIX - 21d realized vol",Cboe + own,VIX csv,1990,daily,0,<0 persistent,spike z>2,5,negative_complacent,dashboard,,,n/a,0,3,carry conditions for hedge selection
F6,Deep-OTM put OI delta,options_dash,L3,experimental,"21d change in OI of puts <=25 delta 1-3m SPX/SPY",UW ARCHIVE,uw OI endpoints,archive day 1,daily,0,z>1.5,z>2,5,accumulation_stress,experimental,,Chen-Joslin-Ni caveat: public demand historically followed crashes,n/a,0,3,
F7,Index vs single-stock vol,options_dash,L3,experimental,"VIX - mean(top50 constituent 1m ATM IV)",UW ARCHIVE,uw per-ticker IV,archive day 1,daily,0,compression z>1.5,z>2,5,compression_crowded,experimental,,,n/a,0,3,
F8,Implied correlation proxy,options_dash,L3,experimental,"Cboe COR1M/COR3M percentile or F7 identity",Cboe csv,COR1M/COR3M,2006-01-03,daily,0,>80th,>90th,5,high_corr_stress,experimental,n/a,backfill flag,n/a,0,3,
F9,Gamma-regime proxy,options_dash,L3,experimental,"GEX-convention estimate from UW OI (assumption: customers long puts short calls - PRINT ASSUMPTION ON DIAL)",UW ARCHIVE,uw OI,archive day 1,daily,0,negative,negative + realized-range expansion,5,neg_gamma_amplifier,experimental,UNDECIDABLE hist,assumption-dependent hist,n/a,0,3,never a standalone trigger
F10,Funding gauge (modern S4),funding,L3,rupture,"primary: 3m AA financial CP - 3m Tbill; secondary: SOFR position in IORB corridor; tertiary: ABCP 4wk delta. z vs 252d",FRED,CP series TBD; SOFR; IORB; ABCOMP,2018 (SOFR) / 2001 (ABCP),daily/weekly,1 day,z>1.5,z>2 & >60bp 5d,5,stress_bearish,dashboard,,,n/a,0,5,confirm exact FRED CP series IDs before build [REPRODUCIBLE]
F11,Breadth of rising IV,options_dash,L2,experimental,"% of top-500 tickers with 1m IV above its 21d-ago level",UW ARCHIVE,uw per-ticker IV,archive day 1,daily,0,>60%,>70% w/ SPX near high,5,stealth_repricing,experimental,,,n/a,0,3,
F12,Hard-to-borrow breadth,positioning,L2,experimental,"% of universe on special / days-to-cover z",UW borrow if present; else FINRA SI,uw/finra,archive day 1 / 2014,daily/semi-monthly,varies,z>1.5,z>2,5,constraint_froth,experimental,specials 4.69% mean fee; Palm 35% (D'Avolio),n/a,n/a,0,20,
X1,SKEW index,exploratory,none,rejected,,Cboe,SKEW_History.csv,1990 (backfill; published 2011),daily,0,,,,,exploratory,unremarkable pre-crisis (lit),unremarkable,n/a,0,3,rejected as signal; kept as context series
X2,VRP,exploratory,re-entry,bottom-finder,"(VIX^2 - realized var); BTZ sign: HIGH VRP -> HIGH fwd returns",Cboe + own,VIX csv,1990,daily,0,,,,,exploratory,,spiked during crisis; led 2009 bottom,n/a,0,3,re-entry input only
X3,Zweig breadth thrust,exploratory,re-entry,bottom-finder,"10d EMA of NYSE up-issues% from <40% to >61.5% within 10d",own universe,breadth calc,forward,daily,0,,,,,exploratory,n/a,n/a,fired 2019/Mar-2023/Nov-2023 (bull),0,3,Part VIII re-entry step 3
X4,COT positioning,exploratory,none,rejected,,CFTC,legacy COT,1986,weekly,3 days,,,,,exploratory,no predictive power (CXO test),same,n/a,0,10,rejected as timer
X5,Hindenburg Omen,exploratory,none,rejected,,derived,breadth,forward,daily,0,,,,,exploratory,27 fires 1986-2010 minority followed by weakness,same,n/a,0,3,rejected
