ticker,bucket,tier,thesis,notes
QS,Energy Storage,lotto,3.0,Physical AI adjacent — solid state battery
QUBT,Quantum Computing,lotto,3.0,Physical AI adjacent — quantum
QURE,Biotech,lotto,4.0,High beta speculative
ROKU,Consumer Tech,lotto,4.0,SaaS victim — streaming AI disruption
ROST,Consumer,tactical,4.0,Macro diversifier
S,Cybersecurity,tactical,4.0,AI budget capturer
SHOP,E-commerce,secondary,4.0,AI capturer — commerce infrastructure
SLV,Commodities,tactical,1.0,Silver — AI hardware demand (conductors)
SMCI,Server Hardware,secondary,1.0,AI server infrastructure
SMMT,Biotech,lotto,4.0,High beta speculative
SNOW,Enterprise Software,secondary,4.0,AI capturer — data/analytics moat
TEAM,Enterprise Software,tactical,4.0,AI capturer — dev tools
TGT,Consumer,tactical,4.0,Macro diversifier
TJX,Consumer,tactical,4.0,Macro diversifier
TPR,Consumer,tactical,4.0,Macro diversifier
TSLA,Physical AI,secondary,3.0,Optimus + FSD — 2027 positioning
TSM,Core Silicon,core,1.0,TSMC — foundry for all AI chips
UAL,Consumer,tactical,4.0,Macro diversifier
UNH,Healthcare,tactical,4.0,Diversifier
USAR,Defense,lotto,3.0,AI defense spending
V,Financials,tactical,4.0,Macro diversifier
VKTX,Biotech,lotto,4.0,High beta speculative
VZ,Telecom,tactical,2.0,AI networking infrastructure
WMT,Consumer,tactical,4.0,Macro diversifier
XYZ,Fintech,lotto,4.0,High beta speculative
ZM,SaaS Victim,tactical,4.0,Seat-count vulnerability — AI meetings
SPY,Market ETF,core,0.0,Benchmark — S&P 500
QQQ,Market ETF,core,0.0,Benchmark — Nasdaq 100
GLD,Commodities,tactical,0.0,Macro hedge — gold
XLF,Sector ETF,tactical,0.0,Financials sector
XLE,Sector ETF,tactical,0.0,Energy sector
XLV,Sector ETF,tactical,0.0,Healthcare sector
XLI,Sector ETF,tactical,0.0,Industrials sector
XLU,Sector ETF,tactical,0.0,Utilities sector
COIN,Crypto,lotto,4.0,High beta — crypto/AI narrative
AVGO,Custom Silicon,core,2.0,Google TPU + Meta MTIA ASICs — multi-year backlog
ANET,Networking,core,2.0,Scale-out ethernet — AI data center spine
AMAT,Semiconductor Equipment,core,1.0,Etch/deposition — every fab needs it
LRCX,Semiconductor Equipment,core,1.0,Etch equipment — HBM manufacturing
VRT,Power/Industrial,core,1.0,Data center cooling — sold out 2026
ETN,Power/Industrial,core,1.0,Power management — AI data centers
NOW,Enterprise Software,secondary,4.0,AI capturer — workflow automation moat
EQIX,DC REIT,secondary,1.0,Data center REIT — AI infrastructure
DLR,DC REIT,secondary,1.0,Data center REIT — AI infrastructure
WDC,Memory,secondary,1.0,NAND/HDD — AI storage
STX,Memory,secondary,1.0,HDD — AI storage at scale
ASML,Semiconductor Equipment,core,1.0,EUV monopoly — 18-month lead times
GEV,Power,core,1.0,GE Vernova — gas turbines sold out 2028
CEG,Nuclear,core,1.0,Constellation Energy — nuclear power for AI
VST,Power,secondary,1.0,Vistra — power generation for AI
LIN,Industrial Gases,core,1.0,Linde — chip fabs need industrial gases
MRVL,Custom Silicon,secondary,2.0,AWS/MSFT ASICs — custom silicon inflection
ALAB,Networking,secondary,2.0,Astera Labs — PCIe/CXL AI connectivity
CLS,Networking,secondary,2.0,Celestica — AI server/networking ODM
SYM,Physical AI,lotto,3.0,Symbotic — warehouse robotics
MNDY,SaaS Victim,lotto,4.0,Monday.com — seat-count vulnerability
FVRR,SaaS Victim,lotto,4.0,Fiverr — AI freelance disruption victim
APD,Industrial Gases,secondary,1.0,Air Products — chip fab gases
EME,Infrastructure,secondary,1.0,EMCOR — data center electrical construction
WCC,Infrastructure,secondary,1.0,Wesco — electrical distribution for data centers
BYND,Consumer,lotto,4.0,Beyond Meat — speculative plant-based foods
RZLV,AI,lotto,4.0,Rezolve AI — speculative agentic commerce
KLAC,Semiconductor Equipment,core,,backfilled 2026-06-01
TXN,Core Silicon,secondary,,backfilled 2026-06-01
MCHP,Core Silicon,tactical,,backfilled 2026-06-01
NXPI,Core Silicon,tactical,,backfilled 2026-06-01
DELL,Server Hardware,tactical,,backfilled 2026-06-01
GLW,Networking,tactical,,backfilled 2026-06-01
FLEX,Server Hardware,tactical,,backfilled 2026-06-01
JBL,Server Hardware,tactical,,backfilled 2026-06-01
GFS,Semiconductor Equipment,tactical,,backfilled 2026-06-01
NEE,Power,secondary,,backfilled 2026-06-01
D,Power,tactical,,backfilled 2026-06-01
CHTR,Telecom,tactical,,backfilled 2026-06-01
BIO,Scientific Instruments,tactical,,backfilled 2026-06-01
HOOD,Fintech,tactical,,backfilled 2026-06-01
RDDT,Ad Tech,tactical,,backfilled 2026-06-01
PINS,Ad Tech,tactical,,backfilled 2026-06-01
MDB,Enterprise Software,tactical,,backfilled 2026-06-01
CRWV,Neoclouds,lotto,,backfilled 2026-06-01
NBIS,Neoclouds,lotto,,backfilled 2026-06-01
RKLB,Space Tech,lotto,,backfilled 2026-06-01
STLA,Automotive,tactical,,backfilled 2026-06-01
CRCL,Crypto,lotto,,backfilled 2026-06-01
FIG,Enterprise Software,tactical,,backfilled 2026-06-01
AMC,Consumer,lotto,,backfilled 2026-06-01
AFL,Financials,expansion,,
ALL,Financials,expansion,,
AIG,Financials,expansion,,
AMP,Financials,expansion,,
AON,Financials,expansion,,
APO,Financials,expansion,,
ACGL,Financials,expansion,,
ARES,Financials,expansion,,
AJG,Financials,expansion,,
AIZ,Financials,expansion,,
BAC,Financials,expansion,,
BLK,Financials,expansion,,
BX,Financials,expansion,,
BNY,Financials,expansion,,
BRO,Financials,expansion,,
COF,Financials,expansion,,
CBOE,Financials,expansion,,
SCHW,Financials,expansion,,
CB,Financials,expansion,,
CINF,Financials,expansion,,
C,Financials,expansion,,
CFG,Financials,expansion,,
CME,Financials,expansion,,
ERIE,Financials,expansion,,
FDS,Financials,expansion,,
FIS,Financials,expansion,,
FITB,Financials,expansion,,
BEN,Financials,expansion,,
GPN,Financials,expansion,,
GL,Financials,expansion,,
GS,Financials,expansion,,
HIG,Financials,expansion,,
HBAN,Financials,expansion,,
IBKR,Financials,expansion,,
ICE,Financials,expansion,,
IVZ,Financials,expansion,,
JKHY,Financials,expansion,,
ABBV,Healthcare,expansion,,
A,Healthcare,expansion,,
ALGN,Healthcare,expansion,,
AMGN,Healthcare,expansion,,
BAX,Healthcare,expansion,,
BDX,Healthcare,expansion,,
TECH,Healthcare,expansion,,
BIIB,Healthcare,expansion,,
BMY,Healthcare,expansion,,
CAH,Healthcare,expansion,,
CRL,Healthcare,expansion,,
COO,Healthcare,expansion,,
CVS,Healthcare,expansion,,
DHR,Healthcare,expansion,,
DVA,Healthcare,expansion,,
DXCM,Healthcare,expansion,,
EW,Healthcare,expansion,,
GILD,Healthcare,expansion,,
HCA,Healthcare,expansion,,
HSIC,Healthcare,expansion,,
IDXX,Healthcare,expansion,,
INCY,Healthcare,expansion,,
PODD,Healthcare,expansion,,
ISRG,Healthcare,expansion,,
IQV,Healthcare,expansion,,
LH,Healthcare,expansion,,
MCK,Healthcare,expansion,,
MDT,Healthcare,expansion,,
MRK,Healthcare,expansion,,
MTD,Healthcare,expansion,,
DGX,Healthcare,expansion,,
REGN,Healthcare,expansion,,
RMD,Healthcare,expansion,,
STE,Healthcare,expansion,,
SYK,Healthcare,expansion,,
MMM,Industrials,expansion,,
AOS,Industrials,expansion,,
ALLE,Industrials,expansion,,
AME,Industrials,expansion,,
ADP,Industrials,expansion,,
BR,Industrials,expansion,,
BLDR,Industrials,expansion,,
CHRW,Industrials,expansion,,
CARR,Industrials,expansion,,
CAT,Industrials,expansion,,
CTAS,Industrials,expansion,,
FIX,Industrials,expansion,,
CPRT,Industrials,expansion,,
CSX,Industrials,expansion,,
CMI,Industrials,expansion,,
DE,Industrials,expansion,,
DAL,Industrials,expansion,,
DOV,Industrials,expansion,,
EMR,Industrials,expansion,,
EFX,Industrials,expansion,,
EXPD,Industrials,expansion,,
FAST,Industrials,expansion,,
FDX,Industrials,expansion,,
FTV,Industrials,expansion,,
GE,Industrials,expansion,,
GNRC,Industrials,expansion,,
GD,Industrials,expansion,,
HON,Industrials,expansion,,
HWM,Industrials,expansion,,
HUBB,Power/Industrial,expansion,,
HII,Industrials,expansion,,
IEX,Industrials,expansion,,
ITW,Industrials,expansion,,
IR,Industrials,expansion,,
JBHT,Industrials,expansion,,
J,Industrials,expansion,,
APTV,Consumer Disc,expansion,,
AZO,Consumer Disc,expansion,,
BBY,Consumer Disc,expansion,,
BKNG,Consumer Disc,expansion,,
CCL,Consumer Disc,expansion,,
CVNA,Consumer Disc,expansion,,
CMG,Consumer Disc,expansion,,
DRI,Consumer Disc,expansion,,
DECK,Consumer Disc,expansion,,
DPZ,Consumer Disc,expansion,,
DHI,Consumer Disc,expansion,,
EBAY,Consumer Disc,expansion,,
EXPE,Consumer Disc,expansion,,
F,Consumer Disc,expansion,,
GRMN,Consumer Disc,expansion,,
GPC,Consumer Disc,expansion,,
HAS,Consumer Disc,expansion,,
HLT,Consumer Disc,expansion,,
HD,Consumer Disc,expansion,,
LVS,Consumer Disc,expansion,,
LEN,Consumer Disc,expansion,,
LOW,Consumer Disc,expansion,,
MAR,Consumer Disc,expansion,,
MCD,Consumer Disc,expansion,,
MGM,Consumer Disc,expansion,,
NKE,Consumer Disc,expansion,,
NCLH,Consumer Disc,expansion,,
MO,Consumer Staples,expansion,,
ADM,Consumer Staples,expansion,,
BG,Consumer Staples,expansion,,
CPB,Consumer Staples,expansion,,
CASY,Consumer Staples,expansion,,
CHD,Consumer Staples,expansion,,
CLX,Consumer Staples,expansion,,
KO,Consumer Staples,expansion,,
CL,Consumer Staples,expansion,,
CAG,Consumer Staples,expansion,,
STZ,Consumer Staples,expansion,,
DG,Consumer Staples,expansion,,
DLTR,Consumer Staples,expansion,,
EL,Consumer Staples,expansion,,
GIS,Consumer Staples,expansion,,
HSY,Consumer Staples,expansion,,
HRL,Consumer Staples,expansion,,
KDP,Consumer Staples,expansion,,
KMB,Consumer Staples,expansion,,
KHC,Consumer Staples,expansion,,
KR,Consumer Staples,expansion,,
MKC,Consumer Staples,expansion,,
APA,Energy,expansion,,
BKR,Energy,expansion,,
CVX,Energy,expansion,,
COP,Energy,expansion,,
DVN,Energy,expansion,,
FANG,Energy,expansion,,
EOG,Energy,expansion,,
EQT,Energy,expansion,,
XOM,Energy,expansion,,
HAL,Energy,expansion,,
KMI,Energy,expansion,,
MPC,Energy,expansion,,
OXY,Energy,expansion,,
OKE,Energy,expansion,,
PSX,Energy,expansion,,
SLB,Energy,expansion,,
TRGP,Energy,expansion,,
TPL,Energy,expansion,,
VLO,Energy,expansion,,
AES,Power,expansion,,
LNT,Power,expansion,,
AEE,Power,expansion,,
AEP,Power,expansion,,
AWK,Power,expansion,,
ATO,Power,expansion,,
CNP,Power,expansion,,
CMS,Power,expansion,,
ED,Power,expansion,,
DTE,Power,expansion,,
DUK,Power,expansion,,
EIX,Power,expansion,,
ETR,Power,expansion,,
EVRG,Power,expansion,,
ES,Power,expansion,,
EXC,Power,expansion,,
ARE,REITs,expansion,,
AMT,REITs,expansion,,
BXP,REITs,expansion,,
CPT,REITs,expansion,,
CBRE,REITs,expansion,,
CSGP,REITs,expansion,,
CCI,REITs,expansion,,
VMRK,REITs,expansion,,
ESS,REITs,expansion,,
EXR,REITs,expansion,,
FRT,REITs,expansion,,
DOC,REITs,expansion,,
HST,REITs,expansion,,
INVH,REITs,expansion,,
IRM,REITs,expansion,,
ALB,Materials,expansion,,
AMCR,Materials,expansion,,
AVY,Materials,expansion,,
CF,Materials,expansion,,
CTVA,Materials,expansion,,
CRH,Materials,expansion,,
DOW,Materials,expansion,,
DD,Materials,expansion,,
ECL,Materials,expansion,,
FCX,Materials,expansion,,
IFF,Materials,expansion,,
IP,Materials,expansion,,
LYB,Materials,expansion,,
MLM,Materials,expansion,,
MOS,Materials,expansion,,
GOOGL,Ad Tech,expansion,,
T,Ad Tech,expansion,,
CMCSA,Ad Tech,expansion,,
ECHO,Ad Tech,expansion,,
FOXA,Ad Tech,expansion,,
FOX,Ad Tech,expansion,,
LYV,Ad Tech,expansion,,
NWSA,Ad Tech,expansion,,
NWS,Ad Tech,expansion,,
OMC,Ad Tech,expansion,,
ACN,Consumer Tech,expansion,,
ADBE,Consumer Tech,expansion,,
AKAM,Consumer Tech,expansion,,
APH,Consumer Tech,expansion,,
ADI,Consumer Tech,expansion,,
CDNS,Consumer Tech,expansion,,
CDW,Consumer Tech,expansion,,
CIEN,Consumer Tech,expansion,,
CSCO,Consumer Tech,expansion,,
CTSH,Consumer Tech,expansion,,
COHR,Consumer Tech,expansion,,
MSTR,Crypto,lotto,,
RXT,Neoclouds,lotto,,
BLND,Fintech,lotto,,
SLNH,Neoclouds,lotto,,
CERO,Biotech,lotto,,
TRAW,Biotech,lotto,,
BTQ,Quantum Computing,lotto,,
GEMI,Crypto,lotto,,
CBRS,Core Silicon,lotto,,
ORCL,Hyperscaler,core,,
PWR,Infrastructure,expansion,,
MTZ,Infrastructure,expansion,,
DY,Infrastructure,expansion,,
LHX,Industrials,expansion,,
RTX,Industrials,expansion,,
SCCO,Materials,expansion,,
CCJ,Nuclear,expansion,,
LEU,Nuclear,lotto,,
POWL,Power/Industrial,expansion,,
NVT,Power/Industrial,expansion,,
JPM,Financials,expansion,,
IBM,Server Hardware,expansion,,
XLB,Sector ETF,tactical,0.0,Materials sector
XLC,Sector ETF,tactical,0.0,Communication Services sector
XLK,Sector ETF,tactical,0.0,Technology sector
XLP,Sector ETF,tactical,0.0,Consumer Staples sector
XLRE,Sector ETF,tactical,0.0,Real Estate sector
XLY,Sector ETF,tactical,0.0,Consumer Discretionary sector
SMH,Sector ETF,tactical,0.0,Semiconductors
IGV,Sector ETF,tactical,0.0,Software — MSFT sector_etf
USO,Commodities,tactical,0.0,Crude oil — oil_spy_corr source
HYG,Market ETF,tactical,0.0,High-yield credit — risk appetite
LQD,Market ETF,tactical,0.0,IG credit — risk appetite
TLT,Market ETF,tactical,0.0,Long Treasuries — rates
VIXY,Market ETF,tactical,0.0,Short-term VIX futures
CRDO,Core Silicon,secondary,,
PURR,Crypto,lotto,,
OKTA,Enterprise Software,tactical,,
BE,Power/Industrial,lotto,,
SPCX,Space Tech,tactical,,
DEFT,Crypto,lotto,,
WDAY,Enterprise Software,tactical,,
