ticker,score_date,headlines,actual_return,haiku,sonnet,opus
BA,2026-06-16,"[""Boeing (BA) Stock Is Up, What You Need To Know"", ""The Boeing Company $BA Shares Sold by Arax Advisory Partners"", ""Boeing Stock (BA) Opinions on Production Ramp and FAA Approvals"", ""Boeing Co Stock (BA) Moved Up by 5.40% on Jun 15: Key Drivers Unveiled"", ""Is Boeing Stock A Buy Now!? | Boeing (BA) Stock Analysis! | Hmp Frankland (7Dp03hE1a0)"", ""Boeing Stock Soars Today: What's Going On Behind The Scenes? - Boeing (NYSE:BA)"", ""Verition Fund Management LLC Sells 34,798 Shares of The Boeing Company $BA"", ""Boeing Stock Price Prediction 2026-2030: Can BA Reach $1000?"", ""The Boeing Company $BA Stock Holdings Raised by Pingora Partners LLC"", ""The Boeing Company Reports Surge in Deliveries in May""]",-0.02927602752336961,35.0,35.0,25.0
BEN,2026-06-16,"[""Franklin Resources (BEN) Stock Valuation After New CLO ETF And Tokenized Funds Partnership"", ""Custody Bank Stocks Q1 Earnings Review: Franklin Resources (NYSE:BEN) Shines"", ""A Historically Cheap High Yield Dividend Aristocrat That Is a Screaming Buy for Passive Income Investors""]",0.022603978092278883,72.0,65.0,58.0
BKNG,2026-06-16,"[""Why Are Booking (BKNG) Shares Soaring Today"", ""Booking Holdings (BKNG) jumps 6.5% as investors reassess travel outlook and regulatory overhang"", ""A Look at Booking Holdings Inc (BKNG) After 5.9% Gain -- GF Value $223.34 vs Price $174.64"", ""Booking Holdings Inc. stock outperforms competitors on strong trading day"", ""Why Expedia (EXPE) Stock Is Up Today"", ""Why Airbnb (ABNB) Stock Is Trading Up Today"", ""Can TTD Capitalize on Agoda's High-Intent Travel Audience Across APAC?"", ""How Booking\u2019s Charter Overhaul and AI Debate Could Reshape Booking Holdings (BKNG) Investors\u2019 Narrative"", ""How Booking won online travel & can it win AI travel?"", ""Why These 2 Hotel Stocks Are Beating Travel Peers""]",-0.04524241345899518,72.0,72.0,55.0
BNY,2026-06-16,"[""Bank of New York Mellon Corporation (BNY) Stock Valuation Check After Strong Multi\u2011Period Returns"", ""BNY Fairly Valued by DCF at $111"", ""1 Unpopular Stock That Deserves Some Love and 2 Facing Challenges"", ""Bank of New York Mellon Stock (US0640581007): Preferred Redemption and Fresh Institutional Buying in"", ""Is Bank of New York Stock Outperforming the Nasdaq?""]",0.013776431534831395,35.0,35.0,35.0
BX,2026-06-16,"[""Blackstone\u2019s new SablePointe arm targets asset-backed corporate loans"", ""Blackstone (BX) Stock After Recent Rebound Are Current Valuations Justified"", ""Blackstone (BX) Is Up 7.5% After Deepening Nippon Life Alliance and Funding Anthropic \u2013 Has The Bull Case Changed?"", ""BX.N - | Stock Price & Latest News"", ""TPG, Ares, and Blackstone Shares Are Soaring, What You Need To Know"", ""Baron Real Estate Fund Sold Its Position in Blackstone (BX). Here\u2019s Why"", ""How Is State Street's Stock Performance Compared to Other Financial Stocks?""]",-0.036052244555651175,42.0,65.0,35.0
CARR,2026-06-16,"[""Century Therapeutics SVP Carr sells $3,691 in company stock By Investing.com"", ""Liquidity Mapping Around (CARR) Price Events"", ""U.S. HVAC shipments mixed in April as heat pumps outperform furnaces (CARR:NYSE)"", ""Is Modine's HVAC Business Set for a Turnaround in 2027?""]",0.009838326538722313,-15.0,-5.0,5.0
CBOE,2026-06-16,"[""CBOE Volatility S&P 500 Index(.VIX) Stock Price Today | Quotes & News"", ""Cboe Canada Welcomes Purpose Investments' SpaceX Yield Shares ETF Following SpaceX IPO"", ""New ETFs let traders bet 2X for or against newly public SpaceX"", ""Chip stocks surge, oil slides closer to $80 on US-Iran deal, Fox to acquire Roku"", ""SpaceX Options Launch After $1.765 Trillion IPO Valuation"", ""The First 2X SpaceX ETF Gained 56% on Day One""]",-0.03491175858758513,72.0,72.0,65.0
CDW,2026-06-16,"[""CDW (CDW) Stock Price Jumps 29% Is The Valuation Story Changing?"", ""CDW (CDW): Buy, Sell, or Hold Post Q1 Earnings?"", ""Hardware-Heavy Quarter and Margin Squeeze Might Change The Case For Investing In CDW (CDW)"", ""Precision Trading with Cdw Corporation (CDW) Risk Zones"", ""CDW (CDW) Stock Valuation Check After Recent Rebound And Mixed Return Profile""]",-0.0501191238881399,35.0,15.0,25.0
CHRW,2026-06-16,"[""CHRW Downgraded by Citigroup -- Rating Adjusted to Neutral"", ""Datadog upgraded, Accenture downgraded: Wall Street's top analyst calls"", ""Citi turns cautious on trucking stocks as valuation concerns outweigh earnings ups""]",-0.01230193583606485,-35.0,-35.0,-35.0
CL,2026-06-16,"[""AMC Entertainment Holdings Inc. Cl A stock outperforms competitors despite losses on the day"", ""Bernstein Calls Colgate\u2019s (CL) Geographic Footprint the \u2018Most Productive,\u2019 Initiates at Market Perform"", ""Will Dividend Hike and Broad-Based Q1 Gains Change Colgate-Palmolive's (CL) Narrative"", ""BofA upgrades Exxon to Buy as shares lag despite war-driven upside"", ""US and Iran\u2019s peace deal: key details known so far"", ""3 Consumer Staples Stocks to Buy Before the End of June"", ""Trump says ships loaded with oil sailing through Strait of Hormuz""]",-0.02195020309706616,35.0,15.0,25.0
CMG,2026-06-16,"[""Chipotle Mexican Grill Stock Surges 12%, With A 5-Day Winning Spree"", ""Chipotle (CMG) Stock Valuation After Renewed Optimism On Undervaluation, AI Models And Earnings Expectations"", ""Chipotle Mexican Grill Inc. stock rises Monday, still underperforms market"", ""CAVA Vs CMG: Which Fast Casual Chain Stock Has More Upside On Wall Street?"", ""KFC makes key change that\u2019s not on the menu"", ""Chipotle is testing these 5 things to bring back buzz""]",-0.06347745035512596,72.0,72.0,35.0
COF,2026-06-16,"[""Capital One Reshapes Card Business With Discover Integration And Policy Shifts"", ""Why Are Capital One (COF) Shares Soaring Today"", ""Capital One Financial Corporation (COF) Releases Monthly Charge-Off and Delinquency Metrics"", ""Capital One (COF) jumps as bank stocks rally amid easing oil prices and renewed risk appetite"", ""Is COF Undervalued? DCF Says Worth $320"", ""Capital One Financial Corp (COF) Shares Surge 5.3% -- What GF Sc""]",0.0003987729688058077,62.0,72.0,58.0
COST,2026-06-16,"[""Prediction: This Will Be Micron's Stock Price by Late 2027 (Hint: It Implies Big Gains)"", ""AMD Stock Soars. It\u2019s Buying MEXT to Fight Memory Shortage."", ""SpaceX Stock Set for More Than 50% Jump in Just Three Sessions"", ""Why Meta (META) Stock Is Up Today"", ""Are You Pricing Amazon Stock For The Past Or The Future?"", ""Stocks rise as SpaceX fever lifts tech; yen flat after BOJ hikes rates"", ""Truck carriers get broker-style freight rates inside PCS Cortex"", ""Costco Wholesale (COST) Stock Valuation After Strong May Sales And Growing Digital And Gas Volumes"", ""Tesla Stock Traded Its Affordable Car Dream for an AI Moonshot. Here Is the Price."", ""Wall Street rallies, Dow ends with record on US-Iran deal, oil price slide""]",-0.03580696614110127,72.0,60.0,20.0
CRL,2026-06-16,"[""LH vs. CRL: Which Stock Is the Better Value Option?"", ""CRL Q1 Earnings & Revenues Top Estimates, Margins Crash, Stock Down"", ""1 S&P 500 Stock on Our Buy List and 2 We Brush Off""]",-0.017479278342402812,-35.0,-35.0,-15.0
CSGP,2026-06-16,"[""CoStar Group Inc. stock falls Monday, underperforms market"", ""Why These 2 Hotel Stocks Are Beating Travel Peers""]",-0.08601814385561377,-25.0,-20.0,-15.0
CVNA,2026-06-16,"[""Carvana Co. $CVNA Shares Bought by Goodnow Investment Group LLC"", ""Carvana Co (CVNA) Stock Up 7.5% and Still Undervalued -- GF Scor"", ""Carvana, Wayfair, and Revolve Stocks Trade Up, What You Need To Know"", ""CVNA Stock Slumps 10% Pre-Market: Wall Street Questions 2026 Visibility, Retail Flags \u2018Deterioration\u2019"", ""Why Carvana (CVNA) Is Down 7.7% After Profit Margins Tighten Amid Expansion Efforts And Financing Shifts"", ""CVNA.N - | Stock Price & Latest News"", ""Senator Investment Group LP Has $109.70 Million Holdings in Carvana Co. $CVNA"", ""Jim Cramer Notes \u201cCarvana Was a Great Buy for Us\u201d"", ""Carvana Co. $CVNA Shares Acquired by Sands Capital Management LLC"", ""Carvana Co. $CVNA Shares Sold by Arrowstreet Capital Limited Partnership""]",-0.04811540123545211,-15.0,-15.0,-5.0
DD,2026-06-16,"[""Three Days Left To Buy EQUINOX NEPREMICNINE d.d. (LJSE:EQNX) Before The Ex-Dividend Date"", ""Here Are Monday\u2019s Best Wall Street Analyst Research Calls: Accenture, Caesars Entertainment, Datadog, DuPont, EPAM Systems, Ferrari, Paychex, Rocket Lab, TeraWulf, and More""]",0.0031223502981482837,15.0,0.0,10.0
DG,2026-06-16,"[""Dollar General Stock 7-Day Winning Spree: Stock Climbs 12%"", ""Dollar General (DG) Is Up 9.0% After Raising 2026 Guidance And Confirming Dividend And New Director \u2013 Has The Bull Case Changed?"", ""3 Mid-Cap Stocks We\u2019re Skeptical Of"", ""Dollar General (DG) Stock After Q1 Beat And Raised Guidance Is The Rebound Still Undervalued"", ""Abercrombie and Fitch, Dollar General, and Monro Shares Skyrocket, What You Need To Know"", ""Dollar General shuffles executive ranks""]",-0.011340667389251373,72.0,72.0,62.0
DLTR,2026-06-16,"[""Dollar Tree (DLTR) Stock After 27% Monthly Jump Are Valuation Models Too Cautious?"", ""How Dollar Tree\u2019s Upgraded EPS Outlook and Customer Shift Could Impact Dollar Tree (DLTR) Investors"", ""Focus Partners Wealth Raises Stock Position in Dollar Tree, Inc. $DLTR"", ""Paul Reacts To STOCK EARNINGS | Dell, KSS, Cost, Snow, BBY, DLTR Bobby Brown (nSfICVVEvb)"", ""Arrowstreet Capital Limited Partnership Purchases 81,695 Shares of Dollar Tree, Inc. $DLTR"", ""Popular discount retailer gets rid of key store section"", ""Dollar Tree Beauty Push Recasts Customer Mix And Valuation Debate""]",0.028806235352564633,62.0,42.0,45.0
DPZ,2026-06-16,"[""Domino\u2019s Pizza Stock For A Rising Dividend And Appreciation (NASDAQ:DPZ)"", ""DPZ Stock Under Pressure: Analysts Turn Cautious After Earnings Miss, Slower US Sales"", ""Domino\u2019s (DPZ) Stock Reconsidered As Steady Growth Guidance Meets Historically Low Valuation Multiples"", ""Any Domino's crust for $9.99 as soccer fans get an in-app game""]",-0.0792487711464501,-25.0,-20.0,10.0
DVA,2026-06-16,"[""5-Day Rally Sends DaVita Stock Up 9.2%"", ""DaVita (DVA) Stock After 82% YTD Surge Is The Price Still Justified"", ""(DVA) Risk Channels and Responsive Allocation"", ""DaVita vs. Encompass Health: Which Healthcare Stock Is a Better Buy in 2026?"", ""Best Growth Stocks to Buy for June 15th""]",0.0033495882981776854,72.0,72.0,35.0
ECL,2026-06-16,"[""Ecolab (NYSE: ECL) EVP Benjamin Clark buys 1,000 common shares"", ""Did New Bond Deal And Cost Strategy Shift Ecolab's (ECL) Investment Narrative?"", ""Wells Fargo Sees Ecolab (ECL) Well Positioned to Navigate Commodity Cost Pressures""]",-0.016540690327753915,35.0,60.0,35.0
EME,2026-06-16,"[""Cantor Fitzgerald reiterates Emcor Group stock rating on execution focus"", ""EMCOR GROUP INC (NYSE:EME) Passes the Caviar Cruise Quality Screen with Stellar Fundamentals""]",0.04086153617581564,42.0,72.0,55.0
EQT,2026-06-16,"[""3 Best Natural Gas Stocks of 2026 and How to Invest"", ""EQT Corp. stock outperforms competitors despite losses on the day"", ""EQT (OM:EQT) Stock Valuation After New U.S. Logistics Portfolio Acquisition"", ""Devon Outperforms Industry in the Past Year: Buy or Hold the Stock?"", ""Jim Cramer Recommends EQT and Devon Over Transocean"", ""How Investors Are Reacting To EQT (EQT) Profit Beat Fueled By Data Center And LNG Demand""]",0.009149332888371945,72.0,72.0,45.0
ETR,2026-06-16,"[""Entergy Stock: Is ETR Outperforming the Utility Sector?"", ""ETR vs XEL: Which Electric Utility Stock Is a Better Investment Pick?"", ""Entergy (ETR) Stock Valuation Check After Strong Long Term Shareholder Returns"", ""ETR.N - | Stock Price & Latest News"", ""Inflation Test For US Utilities One Growth Engine One Quiet Cash Flow""]",-0.0016905635949647489,35.0,35.0,25.0
EXPD,2026-06-16,"[""3 Unpopular Stocks We\u2019re Skeptical Of"", ""Reasons Why You Should Retain Avis Budget Stock in Your Portfolio""]",-0.005304294313584759,-25.0,-20.0,-15.0
FAST,2026-06-16,"[""Tesla Stock And Two Fast Growing Insider Plays To Watch"", ""Stock Market Surges on US, Iran Deal. Problem Solved? Not So Fast"", ""$100K in gear and 500 vests fuel 2026 Special Olympics USA Games"", ""Fox is buying Roku in latest streaming TV consolidation deal. Stock prices fall for both companies"", ""Ternium (TX) Shows Fast-paced Momentum But Is Still a Bargain Stock"", ""Salesforce Stock: A New Breakdown Point Could Be Coming Fast (Rating Downgrade) (NYSE:CRM)"", ""FDA Fast Tracks new gastric cancer antibody from NovaBridge"", ""Fast-paced Momentum Stock DHL Group Sponsored ADR (DHLGY) Is Still Trading at a Bargain"", ""Fastenal (NASDAQ: FAST) director Vishal Talwar files amended Form 3/A"", ""Fast-paced Momentum Stock Stitch Fix (SFIX) Is Still Trading at a Bargain""]",0.0015200802602377405,15.0,15.0,0.0
FIS,2026-06-16,"[""Trillions in loans still traded by hand; FIS builds automation"", ""Down 40% in Last 6 Months, Can FIS Stock Bounce Back in 2026?"", ""(FIS) Price Dynamics and Execution-Aware Positioning"", ""How Is Broadridge Financial\u2019s Stock Performance Compared to Other Fintech Stocks?""]",-0.045063260235363924,-15.0,-15.0,5.0
FOX,2026-06-16,"[""Fox to buy streaming pioneer Roku in a $22 billion deal - ABC News"", ""Fox to buy streaming device maker Roku for $22 billion"", ""Why Fox Stock Is Tumbling After $22 Billion Roku Deal"", ""Fox Stock Is Down 15% After Announcing a $22 Billion Roku Deal. Is This a Buying Opportunity?"", ""Fox is buying Roku in latest streaming TV consolidation deal. Stock prices fall for both companies"", ""Roku agrees to $22B Fox deal, uniting live TV and streaming"", ""Why Is Fox Stock Sinking Monday? - Fox (NASDAQ:FOX), Fox (NASDAQ:FOXA), Roku (NASDAQ:ROKU)"", ""The Real Risk You Carry With Fox Stock"", ""Fox strikes $22 billion deal for Roku to fuel streaming push"", ""Fox buying streaming platform Roku in cash-and-stock deal worth about $22 billion""]",-0.06298228174581864,-35.0,-35.0,-25.0
FTV,2026-06-16,"[""Fortive (FTV) Stock Valuation Check After Recent Choppy Trading And Growth Outlook"", ""1 Mid-Cap Stock on Our Buy List and 2 That Underwhelm"", ""How Fortive Corporation (FTV) Affects Rotational Strategy Timing"", ""How News Moves The Stock Price Of Fortive ($FTV) #FTV Athletic Club Vs Valencia (byu2fqqMF8)"", ""Jim Cramer on Fortive: \u201cIt\u2019s Nothing Special, Frankly\u201d"", ""Fortive Corporation $FTV Stake Lowered by Clean Energy Transition LLP""]",0.003906851091929919,-25.0,-15.0,-15.0
GFS,2026-06-16,"[""GlobalFoundries (GFS) Stock Valuation After New AI And Silicon Photonics Partnerships"", ""GLOBALFOUNDRIES (GFS) legal chief sells 335 shares at $77"", ""(GFS) Movement Within Algorithmic Entry Frameworks"", ""GLOBALFOUNDRIES (NASDAQ: GFS) schedules 2026 AGM to elect directors and ratify PwC""]",0.12199699979208181,42.0,15.0,15.0
GLW,2026-06-16,"[""Corning (GLW) Stock After 97% Rally And Recent Pullback Is The Price Still Reasonable"", ""Corning, IBD Stock Of The Day, Boosted By AI Data Center Play"", ""Corning Inc (GLW) Stock Up 4.8% but GF Value Says Overvalued -- GF Score: 69/100"", ""Corning vs. QuantumScape: Which Technology Stock Is a Better Buy in 2026?"", ""Corning\u2019s Amazon Deal Validates the AI Optics Boom. What That Means for GLW Stock."", ""Corning Inc Stock (GLW) Closed Up by 4.21% on Jun 15: Facts Behind the Movement"", ""1 Industrials Stock on Our Watchlist and 2 We Brush Off"", ""Corning Lands Multibillion-Dollar Amazon AI Deal. Why Fiber Optics Are Suddenly in Spotlight"", ""Jim Cramer Recommends Corning Over Applied Optoelectronics""]",0.182673903712069,62.0,72.0,58.0
GOOGL,2026-06-16,"[""Alphabet (GOOGL) Stock After 109% Year Gain And AI Headlines Is It Still Reasonable Priced"", ""Why GOOGL Stock May Have More Room to Run Even After a 100% Rally"", ""What's Going On With Alphabet Stock Monday? - Alphabet (NASDAQ:GOOG), Alphabet (NASDAQ:GOOGL)"", ""75% of Enterprise Customers Are Quietly Flocking to This Digital Monopoly: Here Is the 1 Unstoppable Stock I\u2019m Loading Up on This June"", ""Google Stock Rises as Tech Giant Picks Next Stop for AI Buildout"", ""Alphabet (GOOGL) Places An Order With Intel To Manufacture More Than Three Million Tensor Processing Units In 2028"", ""Alphabet (GOOGL) Stock Valuation Check After Recent Pullback And Undervaluation Debate"", ""You Can Now Invest in Alphabet With a 6% Dividend Yield, but There's a Catch"", ""Alphabet Gains, Google Stock Nears $500 Mark"", ""GOOGL Stock Drops In Premarket: Report Says Search Giant Trims Cloud Team Amid AI Spending Push""]",-0.0631480437353483,72.0,72.0,62.0
HAL,2026-06-16,"[""Why Halliburton (HAL) Stock Is Down Today"", ""Halliburton (HAL) Stock Sinks As Market Gains: What You Should Know"", ""Halliburton Co (HAL) Stock Down 3.6% but Still Overvalued -- GF Score: 73/100"", ""Halliburton (HAL) Stock After 74.7% One Year Surge Is There Still Value?"", ""Halliburton Company $HAL Shares Purchased by Adams Natural Resources Fund Inc."", ""Halliburton (HAL) Signs Digital Transformation Deal with Pampa Energia"", ""Patterson-UTI, ProFrac, and ProPetro Shares Are Falling, What You Need To Know"", ""Select Water Solutions and Core Laboratories Shares Plummet, What You Need To Know"", ""Valaris, Transocean, and Helmerich & Payne Stocks Trade Down, What You Need To Know"", ""Why SLB (SLB) Stock Is Down Today""]",-0.054569961084961406,-15.0,-25.0,-15.0
HIG,2026-06-16,"[""The Hartford (HIG) Stock Valuation After Momentum Cools And Undervaluation Debate Grows""]",-0.011601314477902417,-15.0,-15.0,5.0
HSIC,2026-06-16,"[""Director Daniel receives 2,215-share grant in Henry Schein (HSIC) Form 4"", ""How Investors Are Reacting To Henry Schein (HSIC) Upgrade On Dental Strength And Margin Improvements"", ""Henry Schein, Inc. (HSIC) Stock Analysis: Unveiling Growth Potential In Medical Distribution""]",-0.03127694796407148,35.0,35.0,45.0
HWM,2026-06-16,"[""Howmet Aerospace (HWM) Stock Valuation Check After Q1 2026 Beat And Rising Institutional Support"", ""(06/15/26) HWM: A Powerhouse Aerospace Stock to Trade"", ""(HWM) Risk Channels and Responsive Allocation"", ""Oppenheimer Highlights High-Beta Stocks Like Howmet Aerospace (H"", ""Why Howmet Aerospace (HWM) Is Up 5.1% After Q1 Beat and Guidance Hike And What\u2019s Next"", ""Why Howmet (HWM) outpaced the stock market today"", ""Landscape Capital Management L.L.C. Has $5.88 Million Position in Howmet Aerospace Inc. $HWM"", ""High-beta winners and losers: Buy HWM, C, GEV; sell COIN, META, TEAM (SP500:)"", ""5 Best Beaten Down Growth Stocks to Buy Right Now"", ""Howmet (HWM) advances while market declines: Some information for investors""]",0.010597548055392779,72.0,82.0,72.0
IFF,2026-06-16,"[""International Flavors & Fragrances (IFF) Is Up 7.2% After Benchmark Highlights Planned Food Ingredients Divestiture""]",-0.024405928877577372,42.0,72.0,62.0
IP,2026-06-16,"[""Why Did SW, IP, PKG Stocks Slump Today?"", ""3 Mid-Cap Stocks We\u2019re Skeptical Of""]",0.02047020283636184,-35.0,-35.0,-65.0
ISRG,2026-06-16,"[""Intuitive Surgical Stock Near Crucial Support - Buy Signal?"", ""Is ISRG Overvalued? DCF Says Worth $196"", ""Are Options Traders Betting on a Big Move in Intuitive Surgical Stock?"", ""Is It Worth Investing in Intuitive Surgical (ISRG) Based on Wall Street's Bullish Views?"", ""Intuitive Surgical, Inc. (ISRG) Gains But Lags Market: What You Should Know"", ""ISRG's Capital Placement Surge: Demand Strength or Upgrade Cycle Peak?""]",-0.033855215837208366,35.0,15.0,10.0
JBL,2026-06-16,"[""Jabil (JBL) Stock Valuation After New Adani AI Data Center Alliance In India"", ""Jabil (JBL) Reports Q2: Everything You Need To Know Ahead Of Earnings"", ""Jabil-Adani alliance targets $3T AI hardware boom from India"", ""JBL Maintained by Stifel -- Price Target Raised to $430"", ""Jabil's Q3 Earnings Coming Up: How Should You Play the Stock?"", ""Top Wall Street Forecasters Revamp Jabil Expectations Ahead Of Q3 Earnings"", ""Do Lofty EPS Forecasts And Insider Sales Put Jabil\u2019s (JBL) Valuation Story At A Crossroads?"", ""Flex Soars 241% in a Year: Should Investors Still Buy the Stock?"", ""Update: Dow Climbs to Record, Oil Tumbles Following US-Iran Framework"", ""Update: Equity Markets Rally Intraday, Oil Tumbles Following US-Iran Deal""]",0.004607015588824834,72.0,62.0,45.0
